pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,,,,,6,3,27,3,581.6469839999918,582.6469487999566,582.6469487999566,582.6469487999566,582.6469487999566,582.6469487999566,583.6473578999285,583.6473578999285,z,1,0.5743070000316948,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,,,,,7,0,28,3,584.2472946000053,585.2480971999466,585.2480971999466,585.2480971999466,585.2480971999466,585.2480971999466,586.2468762999633,586.2468762999633,z,1,0.9035627000266686,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,,,,,7,1,29,1,587.179885199992,588.1634184999857,588.1634184999857,588.1634184999857,588.1634184999857,588.1807731000008,589.1803438999923,589.1803438999923,v,1,1.0982585999881849,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,,,,,7,2,30,2,590.2967772999546,591.2967075000051,591.2967075000051,591.2967075000051,591.2967075000051,591.2967075000051,592.2967928999569,592.2967928999569,c,1,1.2758449000539258,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,,,,,7,3,31,2,593.5968773999484,594.5967866999563,594.5967866999563,594.5967866999563,594.5967866999563,594.5967866999563,595.5983474999666,595.5983474999666,c,1,0.9831707000266761,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,,,,,8,0,32,3,596.6131688000169,597.6134086999809,597.6134086999809,597.6134086999809,597.6134086999809,597.6134086999809,598.6130110999802,598.6130110999802,z,1,0.8021415000548586,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,,,,,8,1,33,0,599.4467737999512,600.4468061999651,600.4468061999651,600.4468061999651,600.4468061999651,600.4468061999651,601.4468004999217,601.4468004999217,x,1,0.9357730000047013,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,,,,,8,2,34,3,602.4132489999756,603.4132028999738,603.4132028999738,603.4132028999738,603.4132028999738,603.4132028999738,604.4129627000075,604.4129627000075,z,1,0.6740568000823259,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,,,,,8,3,35,0,605.1130443000002,606.0973700999748,606.0973700999748,606.0973700999748,606.0973700999748,606.1133442999562,607.1133014999796,607.1133014999796,x,1,0.9896395000396296,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,,,,,9,0,36,1,608.12969229999,609.129660799983,609.129660799983,609.129660799983,609.129660799983,609.129660799983,610.1297330999514,610.1297330999514,v,1,0.6975203999318182,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-50,x,,,,,9,1,37,0,610.8464593000244,611.8462600000203,611.8462600000203,611.8462600000203,611.8462600000203,611.8462600000203,612.8464262000052,612.8464262000052,x,1,0.5971869999775663,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
-150,z,,,,,9,2,38,3,613.4630882999627,614.44648709998,614.44648709998,614.44648709998,614.44648709998,614.4628432999598,615.4633843000047,615.4633843000047,z,1,0.9613352000014856,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
50,c,,,,,9,3,39,2,616.4463965999894,617.447767799953,617.447767799953,617.447767799953,617.447767799953,617.447767799953,618.4469899999676,618.4469899999676,c,1,0.5731520000845194,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,,,,,10,0,40,1,619.0460556999315,620.029681099928,620.029681099928,620.029681099928,620.029681099928,620.0458029999863,621.0462877999526,621.0462877999526,v,1,0.7307491999818012,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
150,v,,,,,10,1,41,1,621.7961769999238,622.7796546999598,622.7796546999598,622.7796546999598,622.7796546999598,622.7962425999576,623.7962976999115,623.7962976999115,v,1,0.7503403999144211,None,286699,001,2023-10-17_22h50.55.379,motor_sequence_learning,2023.1.3,59.978647592482915,
